UID,Name,Position,Age,Height,Min WD,Wage,Personality,Expires,Mins,Club,Division,season,possession,Pas %,Hdr %,Tck R,Poss Lost/90,Poss Won/90,Hdr %,Hdrs  W/90,Tck R,Hdrs W/90,Tck/90,Blk/90,Poss Won/90,Poss Lost/90
2000045043,Callum Sullivan,"D (RL), WB (R)",21,,0,425,Balanced,30/6/2026,"3,232",,,0,53,86.0,75.0,83.0,12.53,14.81,75.0,0.0,83.0,4.59,2.53,0.89,14.81,12.53
29158250,Harvey Smith,D (C),27,,0,475,Balanced,30/6/2026,"3,775",,,0,53,87.0,79.0,79.0,9.63,12.92,79.0,0.0,79.0,7.51,0.91,0.55,12.92,9.63
29240127,Jack Davies,"D (LC), M (C)",23,,0,400,Balanced,30/6/2026,"2,084",,,0,53,87.0,82.0,84.0,10.84,14.60,82.0,0.0,84.0,7.13,1.34,0.43,14.60,10.84
28049315,Zaine Francis-Angol,"D (LC), WB (L)",32,,0,525,Balanced,30/6/2027,"2,856",,,0,53,87.0,64.0,83.0,14.37,12.29,64.0,0.0,83.0,3.66,1.83,0.38,12.29,14.37
29160404,Sam Fielding,"D (RC), DM, M (C)",27,,0,300,Balanced,30/6/2026,"3,357",,,0,53,90.0,62.0,79.0,8.23,8.12,62.0,0.0,79.0,1.93,1.29,0.29,8.12,8.23
29072357,Tom Platt,"DM, M (C)",32,,0,675,Balanced,30/6/2026,"3,273",,,0,53,89.0,70.0,84.0,10.20,7.45,70.0,0.0,84.0,2.83,1.79,0.38,7.45,10.20
28068604,Rudy Misambo,D (C),31,,0,525,Balanced,30/6/2027,"3,440",,,0,53,87.0,76.0,76.0,8.79,12.95,76.0,0.0,76.0,5.13,0.84,0.37,12.95,8.79
2000135239,Edward Gyamfi,"D (RC), DM, M (C)",22,,0,250,Balanced,30/6/2026,"1,913",,,0,53,86.0,70.0,79.0,11.76,13.46,70.0,0.0,79.0,3.06,2.63,0.61,13.46,11.76
28124744,Cardo Siddik,D (C),21,"6'3""",400,575,,30/6/2025,2101,Darlington,Vanarama National League North,1,49,85.0,81.0,75.0,9.0,15.68,81.0,0.0,75.0,8.44,1.29,0.64,15.68,9.0
29223278,Kieran Coates,D/WB (R),22,"5'10""",850,300,,30/6/2024,3908,Chester,Vanarama National League North,1,47,81.0,59.0,74.0,19.97,14.95,59.0,0.0,74.0,4.38,3.11,0.53,14.95,19.97
90049334,Will Thornton,D (C),26,"6'3""",525,350,,30/6/2024,4327,Scarborough Athletic,Vanarama National League North,1,50,78.0,72.0,76.0,11.88,12.17,72.0,0.0,76.0,7.61,0.98,0.35,12.17,11.88
29139894,Connor Johnson,D (C),26,"6'1""",650,750,,30/6/2024,4119,Peterborough Sports,Vanarama National League North,1,47,80.0,71.0,71.0,9.02,12.83,71.0,0.0,71.0,7.19,0.7,0.33,12.83,9.02
29240127,Jack Davies,D (LC),21,"6'2""",0,180,,30/6/2024,1761,Banbury,Vanarama National League North,1,44,79.0,78.0,85.0,12.73,14.62,78.0,0.0,85.0,8.69,1.18,0.97,14.62,12.73
31034672,Kyran Clements,D (C),27,"6'1""",550,350,,30/6/2024,4117,Gloucester,Vanarama National League North,1,47,84.0,83.0,84.0,9.2,14.14,83.0,0.0,84.0,7.65,0.94,0.48,14.14,9.2
28118015,Harry Flowers,D (C),28,"6'5""",0,350,,30/6/2024,2789,Southport,Vanarama National League North,1,50,77.0,79.0,83.0,10.84,15.49,79.0,0.0,83.0,8.75,0.77,0.52,15.49,10.84
122112,Peter Clarke,D (C),42,"6'2""",350,575,,30/6/2024,4257,Warrington,Vanarama National League North,1,44,73.0,74.0,76.0,11.01,12.09,74.0,0.0,76.0,7.10,0.95,0.36,12.09,11.01
28062670,George Waring,"D (C), ST (C)",29,"6'5""",0,230,,30/6/2024,2116,Curzon Ashton,Vanarama National League North,1,46,76.0,76.0,73.0,11.14,12.33,76.0,0.0,73.0,8.29,1.02,0.51,12.33,11.14
28068604,Rudy Misambo,D (C),30,"6'4""",0,230,,30/6/2024,3980,Farsley,Vanarama National League North,1,46,76.0,82.0,83.0,11.24,15.08,82.0,0.0,83.0,8.32,0.97,0.54,15.08,11.24
90070191,Simeon Maye,"DM, M (C)",29,"5'10""",0,230,,30/6/2024,2990,Banbury,Vanarama National League North,1,44,87.0,59.0,78.0,5.3,7.56,59.0,0.0,78.0,3.64,1.41,0.39,7.56,5.3
28100548,Kyle Howkins,D (C),28,"6'5""",0,475,,30/6/2024,3976,Hereford,Vanarama National League North,1,50,82.0,82.0,74.0,8.62,13.11,82.0,0.0,74.0,8.65,1.09,0.75,13.11,8.62
29194271,Tom Leak,D (C),23,"6'2""",0,400,,30/6/2024,4106,Boston Utd,Vanarama National League North,1,58,87.0,80.0,79.0,8.53,15.26,80.0,0.0,79.0,8.57,0.75,0.50,15.26,8.53
2000219406,Ashton Fox,D (C),21,"6'0""",0,575,,30/6/2024,4295,Peterborough Sports,Vanarama National League North,1,47,82.0,80.0,75.0,9.64,14.71,80.0,0.0,75.0,8.53,0.75,0.48,14.71,9.64
29158250,Harvey Smith,D (C),25,"6'0""",0,400,,30/6/2024,3362,Chorley,Vanarama National League North,1,59,84.0,80.0,80.0,9.69,13.06,80.0,0.0,80.0,7.82,1.26,0.56,13.06,9.69
29176525,Max Hunt,D (C),25,"6'6""",0,400,,30/6/2024,4307,Buxton,Vanarama National League North,1,48,83.0,80.0,83.0,8.09,14.21,80.0,0.0,83.0,8.59,0.94,0.42,14.21,8.09
61064263,Michael Kelly,D (L),26,"5'11""",0,"1,200",,30/6/2025,2016,Scunthorpe,Vanarama National League North,1,64,84.0,80.0,72.0,11.47,15.85,80.0,0.0,72.0,5.94,2.41,0.67,15.85,11.47
222823,Tai Fleming,D (C),22,"6'3""",0,240,,30/6/2025,4033,Banbury,Vanarama National League North,1,44,83.0,79.0,90.0,9.39,15.31,79.0,0.0,90.0,9.95,0.98,0.51,15.31,9.39
2000141112,Will Armitage,D (C),19,"6'3""",0,575,,30/6/2026,4498,South Shields,Vanarama National League North,1,50,92.0,79.0,77.0,6.04,13.75,79.0,0.0,77.0,6.86,0.68,0.38,13.75,6.04
28093200,Keenan Quansah,"D (RC), WB (R), DM",27,"6'4""",0,350,,30/6/2024,3388,Southport,Vanarama National League North,1,50,83.0,79.0,76.0,10.07,14.03,79.0,0.0,76.0,6.35,2.15,0.37,14.03,10.07
2000056887,Seydil Tour̩,D (C),20,"6'2""",0,475,,30/6/2025,3759,Braintree,Vanarama National League South,1,50,85.0,78.0,82.0,4.96,13.07,78.0,0.0,82.0,6.70,1.17,0.34,13.07,4.96
28124743,Dan Quick,D (C),21,"6'2""",0,525,,30/6/2024,2583,Eastbourne Borough,Vanarama National League South,1,57,85.0,78.0,88.0,4.01,13.1,78.0,0.0,88.0,6.38,1.05,0.45,13.1,4.01
57149460,Moses Makinde,D (L),31,"6'1""",0,600,,30/6/2025,1727,South Shields,Vanarama National League North,1,50,85.0,77.0,77.0,12.92,15.43,77.0,0.0,77.0,5.84,1.93,0.73,15.43,12.92
