Details,Details,Details,Details,Details,Details,Details,Details,Details,Details,Details,Details,Details,Details,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,DEF,DEF,DEF,DEF,DEF,DEF,DEF,DEF,DEF,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck
name,age,wage,height,season,mins,dist_90,position,club,nat,personality,weight,transfer_value,expires,sv_pct,svh,svp,svt,goals_against,clean_sheets,pen_saves,pen_missed,poss_lost_90,pr_passes_90,tck_r,defensive_score,int_90,poss_won_90,tck_90,tck_r,hdr_w_90,hdr_pct,clr_90,blk_90,turn_diff,poss_won_90,poss_lost_90,pr_passes_90,pas_pct,pas_a_90,xa_90,drb_90,cr_c_90,crs_a_90,crs_pct,xpg_diff,shot_pct,shot_pct,hdrs_w_90,sprint_90,off,off_90,np_xg_90,gls_90,xgp,xgp_90
Sam Fielding,28,550,,4,3315.0,13.2,"D (RC), DM, M (C)",,ENG,,,€1.5K - €26K,,0.0,0.0,0.0,0.0,,0.0,,,9.18,6.79,81.0,1,1.49,9.48,1.52,81.0,,57.0,0.73,0.43,0.3,9.48,9.18,6.79,89.0,,0.14,0.65,0.79,3.99,5.07,0.03,48.0,48.0,2.04,,1.0,0.027149321266968326,0.04,0.33,0.0,0.0
Jordan Cropper,26,325,"5'11""",4,2014.0,12.3,D/WB/M (R),Marine,,,,,,0.0,0.0,0.0,0.0,,0.0,,,11.48,3.57,88.0,2,2.23,14.97,2.73,88.0,,60.0,2.01,0.94,3.49,14.97,11.48,3.57,83.0,,0.08,0.13,0.31,1.97,6.29,-0.01,33.0,33.0,5.72,,1.0,0.04468718967229394,0.01,0.0,0.0,0.0
David Ferguson,32,425,"5'11""",4,1152.0,11.3,"D (LC), WB/M (L)",Colwyn Bay,,,,,,0.0,0.0,0.0,0.0,,0.0,,,11.88,4.92,77.0,2,1.33,11.41,2.11,77.0,,67.0,2.58,1.17,-0.47,11.41,11.88,4.92,82.0,,0.12,0.39,0.55,6.09,11.14,-0.05,0.0,0.0,4.06,,2.0,0.15625,0.05,0.0,0.0,0.0
Declan John,31,350,"5'10""",4,3347.0,12.8,D/WB/M/AM (L),Radcliffe,,,,,,0.0,0.0,0.0,0.0,,0.0,,,12.26,4.33,78.0,2,2.07,10.59,2.1,78.0,,43.0,1.34,0.94,-1.67,10.59,12.26,4.33,86.0,,0.13,1.43,0.7,6.51,9.31,-0.03,39.0,39.0,1.91,,3.0,0.0806692560501942,0.03,0.0,0.0,0.0
Dillon Morse,32,475,"6'0""",4,3996.0,10.7,D (C),FC United,,,,,,0.0,0.0,0.0,0.0,,0.0,,,8.36,3.33,93.0,1,1.58,11.78,0.83,93.0,,70.0,2.12,0.5,3.42,11.78,8.36,3.33,84.0,,0.02,0.02,0.02,0.07,3.0,0.03,60.0,60.0,4.71,,2.0,0.04504504504504504,0.02,0.05,0.0,0.0
Adam Crookes,29,425,"6'0""",4,2163.0,12.0,D (C),Marine,,,,,,0.0,0.0,0.0,0.0,,0.0,,,9.15,3.16,74.0,2,2.12,12.52,1.62,74.0,,62.0,2.29,0.71,3.37,12.52,9.15,3.16,83.0,,0.02,0.25,0.08,1.04,12.5,-0.02,50.0,50.0,4.62,,0.0,0.0,0.02,0.0,0.0,0.0
Matty Douglas,29,300,"6'3""",4,3699.0,11.3,D (RC),Macclesfield,,,,,,0.0,0.0,0.0,0.0,,0.0,,,10.68,2.97,81.0,1,1.27,13.55,1.87,81.0,,71.0,1.97,0.61,2.87,13.55,10.68,2.97,82.0,,0.04,0.1,0.17,1.39,8.14,-0.01,41.0,41.0,6.57,,0.0,0.0,0.03,0.02,0.0,0.0
Aaron Drewe,26,400,"5'9""",4,1498.0,12.6,D (R),Macclesfield,,,,,,0.0,0.0,0.0,0.0,,0.0,,,13.28,3.54,84.0,2,2.28,12.32,3.06,84.0,,46.0,2.58,0.6,-0.96,12.32,13.28,3.54,82.0,,0.14,0.96,0.6,5.71,9.5,0.04,100.0,100.0,3.18,,2.0,0.12016021361815753,0.02,0.06,0.0,0.0
Kieran Farren,26,275,"6'2""",4,2642.0,11.3,D (RC),Scarborough Athletic,,,,,,0.0,0.0,0.0,0.0,,0.0,,,11.17,5.72,73.0,2,2.55,13.08,1.5,73.0,,52.0,1.77,0.37,1.91,13.08,11.17,5.72,87.0,,0.03,0.41,0.14,2.01,14.75,-0.03,9.0,9.0,3.82,,2.0,0.06813020439061317,0.03,0.0,0.0,0.0
Connor Wood,30,400,"5'10""",4,3920.0,12.7,D/WB (L),Macclesfield,,,,,,0.0,0.0,0.0,0.0,,0.0,,,13.59,4.82,80.0,2,1.56,12.21,3.15,80.0,,49.0,2.23,0.92,-1.38,12.21,13.59,4.82,81.0,,0.1,0.55,1.12,6.5,5.78,0.04,47.0,47.0,2.46,,6.0,0.1377551020408163,0.04,0.16,0.0,0.0
Josh Leslie-Smith,27,0,"6'2""",4,170.0,11.1,D (RC),Caernarfon,,,,,,0.0,0.0,0.0,0.0,,0.0,,,6.35,5.29,100.0,1,1.59,7.41,1.59,100.0,,63.0,1.06,0.0,1.06,7.41,6.35,5.29,83.0,,0.0,0.53,0.0,1.59,0.0,0.0,0.0,0.0,5.29,,0.0,0.0,0.0,0.0,0.0,0.0
Bailey Sloane,24,300,"6'3""",4,563.0,11.1,D (LC),Boston Utd,,,,,,0.0,0.0,0.0,0.0,,0.0,,,8.95,6.07,100.0,1,1.92,14.87,1.44,100.0,,69.0,1.92,0.48,5.92,14.87,8.95,6.07,84.0,,0.02,0.0,0.0,1.12,0.0,-0.05,33.0,33.0,4.96,,0.0,0.0,0.05,0.0,0.0,0.0
